com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_65_years,persons,8203
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_66_years,persons,7546
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_67_years,persons,7505
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_68_years,persons,7252
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_69_years,persons,7036
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_6_years,persons,9408
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_70_years,persons,6923
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_71_years,persons,6879
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_72_years,persons,6789
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_73_years,persons,6950
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_74_years,persons,6579
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_75_years,persons,5979
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_76_years,persons,6010
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_77_years,persons,5821
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_78_years,persons,5467
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_79_years,persons,4562
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_7_years,persons,9319
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_80_years,persons,4090
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_81_years,persons,3864
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_82_years,persons,3774
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_83_years,persons,3361
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern Ireland,diocese,age-single-year,age_84_years,persons,3293
