com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_28_years,persons,9875,0.01286298027763196
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_29_years,persons,10218,0.013309765314110721
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_2_years,persons,8889,0.011578636120290683
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_30_years,persons,10463,0.013628897483024122
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_31_years,persons,10358,0.013492126553489808
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_32_years,persons,10472,0.013640620705555636
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_33_years,persons,10452,0.013614569099930052
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_34_years,persons,10675,0.01390504450265531
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_35_years,persons,10538,0.013726591004120062
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_36_years,persons,10305,0.01342308979858201
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_37_years,persons,10102,0.013158666001482336
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_38_years,persons,10242,0.013341027240861423
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_39_years,persons,10105,0.013162573742326173
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_3_years,persons,8706,0.011340263928816593
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_40_years,persons,10279,0.013389222711268751
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_41_years,persons,10449,0.013610661359086213
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_42_years,persons,9738,0.012684526779096712
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_43_years,persons,9260,0.012061893404645262
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_44_years,persons,9139,0.01190428119061048
